"1","dataset-config","mae","r2","rmse","recall","precision","TP","FP","TN","FN"
"Sensitivity","junin-densenly-16-adam","1.84385107834785","0.910506420879107","2.33226165212232","0.870738636363636","0.962323390894819","613","24","787","91"
"Sensitivity","junin-GRU-16-adam","1.50632869775146","0.914896971679889","1.95891636219929","0.913352272727273","0.940058479532164","643","41","770","61"
"Sensitivity","junin-LSTM-16-adam","1.63069850252262","0.917025691553794","2.07735633709211","0.889204545454545","0.951367781155015","626","32","779","78"
"Sensitivity","junin-GRU-dropout-16-adam","1.94616635883426","0.912518696812427","2.44808611479546","0.855113636363636","0.969404186795491","602","19","792","102"
"Sensitivity","junin-GRU-GRU-dropout-16-adam","1.8995533737596","0.912876231044783","2.39130554978244","0.876420454545455","0.959564541213064","617","26","785","87"
