Time,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-38-0f-66,00-17-0d-00-00-3f-f8-20,00-17-0d-00-00-3f-fe-87,00-17-0d-00-00-3f-fe-88
2016-09-10T06:40:00.000Z,7.169,10.649,7.614,11.1984210526,10.5142105263
2016-09-10T06:50:00.000Z,7.0010526316,10.4605263158,7.5063157895,11.1236842105,10.4755
2016-09-10T07:00:00.000Z,6.8525,10.5357894737,7.3275,10.902,10.3736842105
2016-09-10T07:10:00.000Z,7.0326315789,10.434,6.9789473684,11.1242105263,10.556
2016-09-10T07:20:00.000Z,6.9347368421,10.5463157895,7.0910526316,10.861,10.374
2016-09-10T07:30:00.000Z,6.8615,10.517,7.187,11.0057894737,10.2884210526
2016-09-10T07:40:00.000Z,6.78,10.323,6.9226315789,10.7805263158,10.2605
2016-09-10T07:50:00.000Z,6.639,10.15,6.6685,10.5875,10.1815789474
2016-09-10T08:00:00.000Z,6.6794736842,9.927,6.3531578947,10.6421052632,10.251
2016-09-10T08:10:00.000Z,6.8084210526,10.0652631579,6.5331578947,10.658,10.1826315789
2016-09-10T08:20:00.000Z,6.5185,10.018,6.646,10.4715789474,9.9263157895
2016-09-10T08:30:00.000Z,6.7115789474,10.0963157895,6.6773684211,10.5894736842,10.18
2016-09-10T08:40:00.000Z,6.4565,10.0385,6.637,10.4273684211,10.0752631579
2016-09-10T08:50:00.000Z,6.1015789474,9.54,6.3647368421,9.9457894737,9.55
2016-09-10T09:00:00.000Z,6.1657894737,9.4757894737,6.32,10.0185,9.6755555556
2016-09-10T09:10:00.000Z,6.375,9.855,6.7425,10.3652631579,9.8831578947
2016-09-10T09:20:00.000Z,6.7957894737,10.2784210526,6.88,10.6575,10.2815
2016-09-10T09:30:00.000Z,6.8525,10.3957894737,6.943,10.8505,10.46
2016-09-10T09:40:00.000Z,6.751,10.221,6.8336842105,10.7295,10.2825
2016-09-10T09:50:00.000Z,6.7,10.1078947368,6.4975,10.6685,10.1272222222
2016-09-10T10:00:00.000Z,6.69,10.049,6.2852631579,10.5673684211,10.1405263158
2016-09-10T10:10:00.000Z,6.5084210526,9.9468421053,6.4321052632,10.4211111111,10.0475
2016-09-10T10:20:00.000Z,6.09,9.3152631579,6.114,9.957,9.6989473684
2016-09-10T10:30:00.000Z,5.6831578947,8.96,5.7015789474,9.6136842105,9.1845
2016-09-10T10:40:00.000Z,5.5652631579,8.8026315789,5.89,9.4585,9.0368421053
2016-09-10T10:50:00.000Z,6.131,9.1435,7.359,9.7531578947,9.2505263158
2016-09-10T11:00:00.000Z,6.8615789474,9.814,9.0757894737,10.5026315789,10.0075
2016-09-10T11:10:00.000Z,7.746,10.5678947368,10.651,11.2075,10.6957894737
2016-09-10T11:20:00.000Z,8.584,11.5535,11.9352631579,11.9695,11.4725
2016-09-10T11:30:00.000Z,9.4266666667,12.6342105263,13.2463157895,12.8078947368,12.5127777778
2016-09-10T11:40:00.000Z,10.576,13.5311111111,14.379,13.875,13.4605263158
2016-09-10T11:50:00.000Z,11.4878947368,14.616,15.2647368421,14.8761111111,14.495
2016-09-10T12:00:00.000Z,12.3673684211,15.7794444444,16.2621052632,15.948,15.5036842105
2016-09-10T12:10:00.000Z,13.326,16.7268421053,17.0915,16.8447368421,16.2847368421
2016-09-10T12:20:00.000Z,14.0915789474,17.6478947368,17.7394736842,17.7226315789,17.1557894737
2016-09-10T12:30:00.000Z,14.9368421053,18.7165,18.658,18.7078947368,18.1375
2016-09-10T12:40:00.000Z,15.6963157895,19.6484210526,19.4452631579,19.581,19.1468421053
2016-09-10T12:50:00.000Z,16.712,21.242,21.0815789474,20.6678947368,20.6463157895
2016-09-10T13:00:00.000Z,17.8521052632,23.1315789474,22.7189473684,21.8815,22.075
2016-09-10T13:10:00.000Z,18.7985,24.0675,24.121,23.1015,23.5473684211
2016-09-10T13:20:00.000Z,19.6810526316,25.04,24.7568421053,24.109,24.5045
2016-09-10T13:30:00.000Z,20.4310526316,25.4784210526,24.8231578947,24.6675,25.01
2016-09-10T13:40:00.000Z,21.0495,26.3773684211,25.1575,25.33,25.7457894737
2016-09-10T13:50:00.000Z,21.6842105263,26.4805,25.3657894737,26.0131578947,26.4305
2016-09-10T14:00:00.000Z,22.2175,26.8578947368,25.347,26.4105,26.7084210526
2016-09-10T14:10:00.000Z,22.4989473684,26.8775,25.0331578947,26.7022222222,26.9331578947
2016-09-10T14:20:00.000Z,22.6805263158,26.3778947368,24.6784210526,26.7410526316,26.8985
2016-09-10T14:30:00.000Z,23.1735,26.3447368421,24.6535,27.081,27.03
2016-09-10T14:40:00.000Z,23.4631578947,26.5415,24.825,27.3621052632,27.437
2016-09-10T14:50:00.000Z,23.4510526316,26.9868421053,24.3452631579,27.4365,27.5326315789
2016-09-10T15:00:00.000Z,23.682,27.4684210526,24.3905555556,27.7047368421,28.0994736842
2016-09-10T15:10:00.000Z,24.0585,27.7036842105,24.937,28.1827777778,28.4736842105
2016-09-10T15:20:00.000Z,24.3610526316,28.0675,25.3033333333,28.3352631579,28.729
2016-09-10T15:30:00.000Z,24.4884210526,28.2605263158,25.42,28.3473684211,29.1184210526
2016-09-10T15:40:00.000Z,24.5431578947,28.3457894737,25.6215789474,28.373,29.2794444444
2016-09-10T15:50:00.000Z,24.94,28.7105263158,26.0705,28.6363157895,29.5694736842
2016-09-10T16:00:00.000Z,25.6710526316,28.8495,26.9905263158,29.3863157895,30.1257894737
2016-09-10T16:10:00.000Z,26.0878947368,29.3978947368,27.1910526316,29.8363157895,30.7755
2016-09-10T16:20:00.000Z,26.6231578947,29.9005263158,27.8984210526,30.2110526316,31.4210526316
2016-09-10T16:30:00.000Z,26.9622222222,29.9973684211,28.0442105263,30.7535,31.6136842105
2016-09-10T16:40:00.000Z,27.721,30.5615,28.371,30.94,31.8921052632
2016-09-10T16:50:00.000Z,28.1431578947,30.9575,28.5615789474,31.1952631579,32.1775
2016-09-10T17:00:00.000Z,28.4115,31.4,28.8172222222,31.4765,32.6621052632
2016-09-10T17:10:00.000Z,28.8805,31.8125,29.1695,31.9763157895,33.0484210526
2016-09-10T17:20:00.000Z,29.1715789474,32.5663157895,29.3878947368,32.15,33.389
2016-09-10T17:30:00.000Z,29.6355,32.5878947368,30.161,32.433,33.5526315789
2016-09-10T17:40:00.000Z,30.1157894737,33.1445,30.8042105263,32.8973684211,34.1210526316
2016-09-10T17:50:00.000Z,30.1157894737,33.7805555556,30.86,32.8884210526,34.1935
2016-09-10T18:00:00.000Z,30.429,34.0778947368,30.9595,32.8095,34.3147368421
2016-09-10T18:10:00.000Z,31.1421052632,34.1425,31.9877777778,33.1010526316,34.6715
2016-09-10T18:20:00.000Z,31.5826315789,34.488,32.7105555556,33.8485,35.3733333333
2016-09-10T18:30:00.000Z,31.7705,35.01,32.791,33.7927777778,35.5652631579
2016-09-10T18:40:00.000Z,31.5705263158,35.1295,32.7084210526,33.634,35.4335
2016-09-10T18:50:00.000Z,32.0261111111,35.5021052632,33.449,33.95,35.8863157895
2016-09-10T19:00:00.000Z,32.127,35.3305263158,33.427,34.0447368421,36.2721052632
2016-09-10T19:10:00.000Z,32.3957894737,35.0775,33.9626315789,33.95,35.994
2016-09-10T19:20:00.000Z,32.5121052632,35.6831578947,34.31,34.2855,36.38
2016-09-10T19:30:00.000Z,32.218,35.6836842105,34.1745,34.3684210526,36.5610526316
2016-09-10T19:40:00.000Z,31.8605263158,35.568,33.2889473684,33.9161111111,35.79
2016-09-10T19:50:00.000Z,31.9889473684,35.9310526316,33.6142105263,33.9595,35.8431578947
2016-09-10T20:00:00.000Z,32.451,35.8868421053,34.0565,34.1863157895,35.7478947368
2016-09-10T20:10:00.000Z,31.7647368421,35.659,33.0563157895,33.7363157895,35.3725
2016-09-10T20:20:00.000Z,31.4963157895,35.0621052632,33.3126315789,33.6105555556,35.2868421053
2016-09-10T20:30:00.000Z,31.3033333333,34.6773684211,32.8294736842,33.369,34.7305263158
2016-09-10T20:40:00.000Z,30.632,34.3055,31.7885,32.7905263158,34.0463157895
2016-09-10T20:50:00.000Z,30.3605263158,34.2394736842,31.9315789474,32.808,33.9805
2016-09-10T21:00:00.000Z,29.8589473684,34.0563157895,31.6310526316,32.4515,33.6721052632
2016-09-10T21:10:00.000Z,29.6865,33.4563157895,31.0975,32.0255,33.0805263158
