"1","dataset-config","mae","r2","rmse","recall","precision","TP","FP","TN","FN"
"Sensitivity","junin-densenly-16-adam","2.01957400653333","0.882678243159222","2.55313156795789","0.452380952380952","0.844444444444444","76","14","1225","92"
"Sensitivity","junin-GRU-16-adam","1.67217773143154","0.904098094149626","2.12430165219371","0.476190476190476","0.888888888888889","80","10","1277","88"
