"1","dataset-config","mae","r2","rmse","recall","precision","TP","FP","TN","FN"
"Sensitivity","junin-densenly-16-adam","1.70194031206761","0.912044174958553","2.16709989079081","0.392857142857143","0.88","66","9","1265","102"
"Sensitivity","junin-GRU-16-adam","1.61790303749696","0.915228535425978","2.0704443087998","0.464285714285714","0.896551724137931","78","9","1290","90"
