"","pred.g","target.g"
"1",19.755340322982,18.69
"2",19.2498255314636,20.86
"3",20.1863781296796,16.04
"4",18.7911950157638,17.87
"5",19.4190441950804,20
"6",20.3551797387996,19.77
"7",18.473043155335,14.83
"8",15.0337045770915,13.18
"9",17.388973108522,16.35
"10",19.1076243292674,18.28
"11",20.2535191099237,18.3
"12",17.8871183393548,17.17
"13",17.0487700907947,17.79
"14",16.3636134690612,17.71
"15",16.1179140415476,16.06
"16",17.6023883634227,18.82
"17",18.3998460963836,17.25
"18",16.5482120159387,16.83
"19",18.094765139339,17.63
"20",18.2662815974626,14.77
"21",15.7348998204622,15.31
"22",15.3914686251601,14.39
"23",17.3236169936911,16.99
"24",18.7938635253789,17.94
"25",21.7531687825861,18.92
"26",19.7646018090473,22.27
"27",22.8191169326656,14.11
"28",14.3937120811162,17.17
"29",14.8503631858665,14.93
"30",16.8320679351285,17.09
"31",18.7647256374559,18.66
"32",19.3039627205414,20.96
"33",21.006546956748,20.8
"34",18.7396080909649,21.35
"35",21.1805401752928,17.25
"36",15.8814792959191,14.95
"37",17.0367314372377,14.42
"38",17.4897165370871,14.44
"39",19.2325617123728,15.98
"40",21.071394936215,17.17
"41",19.2642993997832,18.66
"42",20.0378571936344,17.66
"43",19.8531531847003,19.46
"44",20.2659588388779,20.47
"45",21.4778025589561,19.05
"46",17.562522108101,15.83
"47",14.6838429926764,17.22
"48",17.8071988732472,17.4
"49",15.9935039687253,13.62
"50",17.2104721860106,12.21
"51",12.3172320969492,13.18
"52",16.674096959644,16.6
"53",19.1653024867925,16.5
"54",17.4177562604363,12.65
"55",16.6374984301683,18.77
"56",19.3711148861551,10.47
"57",10.9481066997908,6.67
"58",8.52058008124268,7.72
"59",12.7332411610974,11.83
"60",15.434740426061,14.44
"61",17.4264009532613,18.3
"62",18.0305275614726,18.97
"63",15.9806184228953,17.09
"64",17.9106331821667,19.21
"65",19.6204623420828,18.77
"66",19.2938111986344,22.48
"67",19.6082047748627,16.96
"68",18.2470587407742,19.46
