"","pred.g","target.g"
"1",19.0272989940328,18.69
"2",18.7533221531037,20.86
"3",18.4130288534642,16.04
"4",18.6285629369576,17.87
"5",18.9392381767342,20
"6",19.7061518610168,19.77
"7",16.4014783421717,14.83
"8",14.4227053581889,13.18
"9",16.5898471575742,16.35
"10",17.4683860371757,18.28
"11",18.741994569474,18.3
"12",18.0063184267877,17.17
"13",16.5635990897942,17.79
"14",17.0326567668673,17.71
"15",15.7917191013896,16.06
"16",16.9927369815623,18.82
"17",17.5991877497945,17.25
"18",15.717616027497,16.83
"19",16.7578801720086,17.63
"20",16.0191743920587,14.77
"21",14.5127891294831,15.31
"22",15.0563453631612,14.39
"23",16.3749490422406,16.99
"24",17.5234572046187,17.94
"25",18.2887274385186,18.92
"26",19.3088539228958,22.27
"27",19.5860377690929,14.11
"28",12.5069874987101,17.17
"29",15.8135161910062,14.93
"30",14.8570979768248,17.09
"31",18.4805301624018,18.66
"32",19.076233388316,20.96
"33",20.2438054153427,20.8
"34",17.4291062148053,21.35
"35",20.0713805454129,17.25
"36",13.8754156079145,14.95
"37",15.7261744331848,14.42
"38",16.1498914154503,14.44
"39",17.6505341891461,15.98
"40",18.7075196623207,17.17
"41",16.4237580005929,18.66
"42",17.9443251134449,17.66
"43",17.2671508508625,19.46
"44",19.2851337486554,20.47
"45",17.9729972106177,19.05
"46",18.1085998436789,15.83
"47",14.1137978062935,17.22
"48",16.5653000649351,17.4
"49",15.4485647439862,13.62
"50",15.3661757080522,12.21
"51",9.81720410949384,13.18
"52",15.1477202456943,16.6
"53",14.5975989989901,16.5
"54",14.4039702635124,12.65
"55",15.6030019416182,18.77
"56",16.8028269820138,10.47
"57",9.35986775104879,6.67
"58",9.49164383919385,7.72
"59",10.5655179222294,11.83
"60",15.4005143933823,14.44
"61",15.2854992321062,18.3
"62",18.1375747447871,18.97
"63",16.3344556072638,17.09
"64",16.2638511572049,19.21
"65",18.6748975317535,18.77
"66",19.2757004872705,22.48
"67",19.621585672777,16.96
"68",16.7422526127058,19.46
"69",16.0933781342781,14.95
"70",13.1646205210467,12.85
"71",13.3639617845926,15.03
"72",15.2773842464294,13.13
"73",15.5712219095942,14.29
"74",15.878999339678,14.75
"75",16.3517441939588,17.32
"76",15.6300497633277,15.55
"77",15.0359923846612,12.98
"78",12.1579278653508,13.24
"79",12.6878597195861,12.16
"80",12.0755703881383,10.72
"81",13.2482487361463,14.08
"82",11.994408746784,9.77
"83",9.02563094207786,7.16
"84",5.32080016257815,3.08
"85",7.40667445907504,7.98
"86",10.9356240270066,9.47
"87",11.717545880748,10.24
"88",13.3186406641819,12.67
"89",14.2420967924545,14.08
"90",12.0658317262144,10.39
"91",13.1180981718317,12.62
"92",14.2034749095056,6.62
"93",5.00322594659598,4.29
"94",8.28385501535037,9.34
"95",10.7034690834383,10.29
"96",8.59090999039844,12.39
"97",10.0667153511913,11.57
"98",10.9102566073474,13.06
"99",12.0340379122171,12.06
"100",12.8084300148005,13.21
"101",13.8658165633724,12.8
"102",11.8326657051257,9.98
"103",11.983046408613,12.21
"104",12.7219051884406,12.77
"105",12.6662463896137,11.16
"106",12.1112680958802,12.44
"107",10.968861552643,11.24
"108",12.535975183098,12.26
"109",8.5646064451824,4.83
"110",4.42999253038696,4.59
"111",5.11232204994286,5.36
"112",7.63002631699466,9.83
"113",9.54560870367053,6.29
"114",6.77036234919022,3.85
"115",4.03215609661313,2.72
"116",3.50427456058136,0.619999999999999
"117",4.12429158428207,1.18
"118",4.55663728027308,2.54
"119",5.21848119480317,4.24
"120",6.77597540736415,5.31
"121",6.62297173469533,7.9
"122",7.81990246082611,8.31
"123",8.70419622559319,7.77
"124",10.3128319330711,11.54
"125",9.53002698440934,9.54
"126",7.32874988366964,8.24
"127",7.86279605641593,4.16
"128",3.7416109268986,4.8
"129",5.30867042815403,2.72
"130",1.28960053289316,1.44
"131",1.41932685211624,1.42
"132",3.64479955524091,2.16
"133",4.51999640618371,6.29
"134",5.87365563294419,5.9
"135",5.089889391644,3.39
"136",1.80841792473828,2.54
"137",3.61501011953608,5.06
"138",1.35185989824253,5.88
"139",0.811107996525196,2.29
"140",2.69857680549011,3.7
"141",3.9030377821257,3.9
"142",3.75219308553695,3.49
"143",4.78830825686555,8.7
"144",6.92686464569274,9.54
"145",8.05431060722681,7.88
"146",6.74859561986267,7.08
"147",6.16901670350677,5.88
"148",3.97310453548671,4.31
"149",5.02793442813994,4.16
"150",3.88948710627929,4.9
"151",6.65021290350872,2.16
"152",1.03592353995825,-0.890000000000001
"153",-2.23360554746488,-4.05
"154",-0.0626739051576237,-6.39
"155",-2.74125195085538,-5.83
"156",-2.98674205216573,-5.5
"157",-1.43222095080392,-3.52
"158",0.0940754681707876,-1.81
"159",1.30686195511903,-1.76
"160",-0.589798031873492,-0.220000000000001
"161",5.17869803079877,1
"162",4.76322586439348,4.95
"163",2.61929850074965,1.65
"164",0.308095531987275,3.44
"165",-0.0583331827807143,-1.4
